"rk","player","pos","age","tm","g","gs","mp","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","x","o_rtg","d_rtg"
"419","Derrick Rose","PG","32","DET","15","0","342","11.4","26.4",".429","1.9","5.6",".333","9.5","20.8",".455","6.0","7.2",".840","0.9","3.3","4.2","9.1","2.6","0.6","4.2","2.4","30.6",NA,"104","113"
"419","Derrick Rose","PG","32","NYK","17","3","426","9.5","22.7",".418","2.0","5.4",".370","7.5","17.3",".432","3.5","4.2",".833","0.7","4.1","4.8","7.9","2.0","1.2","2.7","1.9","24.5",NA,"105","109"
"420","Terrence Ross","SG","29","ORL","42","2","1240","9.6","23.1",".415","3.5","10.0",".345","6.1","13.1",".468","4.4","5.0",".882","0.6","5.2","5.8","3.9","1.8","0.8","2.8","3.3","27.0",NA,"103","113"
"421","Terry Rozier","SG","26","CHO","49","49","1643","10.4","22.5",".464","4.7","11.7",".404","5.7","10.8",".530","3.6","4.4",".832","0.8","5.1","5.8","4.9","1.8","0.5","2.7","2.6","29.3",NA,"115","114"
"422","Ricky Rubio","PG","30","MIN","49","34","1294","4.8","12.7",".379","1.4","5.0",".279","3.4","7.8",".443","3.9","4.6",".856","0.7","5.0","5.7","12.3","2.6","0.1","3.3","3.8","15.0",NA,"111","115"
"423","D'Angelo Russell","PG","24","MIN","23","19","660","11.5","27.1",".426","4.9","12.3",".398","6.7","14.8",".449","4.5","5.9",".768","0.8","3.7","4.4","8.4","1.6","0.8","4.2","3.3","32.5",NA,"106","117"
"424","Domantas Sabonis","PF","24","IND","48","48","1721","9.9","19.0",".521","1.0","3.3",".308","8.9","15.7",".567","5.7","7.9",".721","3.4","11.8","15.2","8.0","1.5","0.8","4.5","4.5","26.5",NA,"114","110"
"425","Luka Šamanić","PF","21","SAS","21","2","197","7.1","15.7",".453","2.0","7.9",".250","5.2","7.9",".656","2.7","4.9",".550","3.0","9.1","12.1","2.7","1.0","1.0","3.2","5.9","18.9",NA,"99","112"
"426","JaKarr Sampson","PF","27","IND","20","0","153","8.1","17.2",".473","0.6","2.5",".250","7.5","14.7",".511","4.4","6.3",".700","4.4","8.8","13.1","0.3","0.6","2.2","2.2","6.9","21.3",NA,"106","112"
"427","Dario Šarić","C","26","PHO","33","0","595","9.5","20.7",".458","2.9","8.3",".350","6.6","12.4",".530","4.7","5.5",".864","2.8","8.6","11.4","3.6","1.5","0.2","3.4","5.5","26.6",NA,"109","110"
"428","Tomáš Satoranský","SG","29","CHI","40","15","953","6.0","11.8",".513","1.7","4.2",".405","4.3","7.5",".573","2.4","2.6",".922","1.1","4.2","5.3","10.3","1.7","0.5","3.5","3.1","16.1",NA,"121","114"
"429","Dennis Schröder","SG","27","LAL","48","48","1529","7.8","18.4",".426","1.6","4.9",".327","6.3","13.6",".461","5.7","6.8",".842","0.8","4.6","5.4","8.2","1.9","0.3","4.4","4.1","23.0",NA,"105","108"
"430","Mike Scott","PF","32","PHI","33","8","578","3.8","10.8",".351","2.9","8.5",".340","0.9","2.3",".393","0.5","0.8",".600","0.7","6.8","7.4","1.7","1.6","0.4","1.3","3.7","11.0",NA,"98","109"
"431","Collin Sexton","SG","22","CLE","44","44","1575","12.1","25.2",".480","2.2","6.0",".358","9.9","19.2",".518","6.7","8.1",".819","1.1","2.9","3.9","5.7","1.6","0.1","3.7","3.7","33.0",NA,"111","116"
"432","Landry Shamet","SG","23","BRK","41","1","828","6.4","15.9",".399","4.6","11.8",".389","1.7","4.1",".429","2.2","2.6",".844","0.5","3.7","4.3","2.7","1.1","0.3","1.7","3.1","19.5",NA,"110","117"
"433","Iman Shumpert","SG","30","BRK","2","0","11","4.4","17.6",".250","0.0","13.2",".000","4.4","4.4","1.000","0.0","0.0","","4.4","0.0","4.4","0.0","4.4","0.0","4.4","0.0","8.8",NA,"56","112"
"434","Pascal Siakam","PF","26","TOR","43","43","1524","10.1","22.2",".454","1.7","5.8",".288","8.4","16.4",".513","6.3","7.6",".837","2.4","7.5","9.9","6.1","1.5","0.9","2.8","4.3","28.2",NA,"114","113"
